file_name	Nb_frags	Trans	SignalInPlottedRegion	FragmentsInPlottedRegion
segToFrag_E9_FLB_invCS3840_Hoxd11_neq2.bw	15166	30.274482258880543	50.08457398046386	1328
segToFrag_E9_FLB_wt_Hoxd11.bw	8189	37.84347219477782	46.71702869177087	955
segToFrag_E12_PFL_invTDOMdelBd_Hoxd4.bw	11032	46.93873138874819	42.80894539050458	833
segToFrag_E9_FLB_wt_CS93.bw	7715	48.74187157786518	36.595095275874215	958
segToFrag_E9_FLB_invCS3840_Hoxd9.bw	38254	57.12523473604338	28.71491815587179	1247
segToFrag_E9_FLB_invCS3840_ELCR2_neq2.bw	30791	43.353143962581164	40.2786674759915	1305
segToFrag_E9_FLB_wt_CS40.bw	17430	45.05827736354975	43.150604309855964	1246
segToFrag_E12_PFL_invTDOM_CTCF-37157.bw	29942	60.748373893356764	24.48970939870104	892
segToFrag_E9_FLB_invTDOM_CS93.bw	10692	48.06376292131953	33.8475504074457	1077
segToFrag_E12_PFL_invTDOMdelBd_CTCF-37141.bw	14642	56.143962021992046	33.007325794083094	952
segToFrag_E9_FLB_invTDOM_CS40.bw	18216	47.90779821772881	36.281884342165945	1221
segToFrag_E9_FLB_invCS3840_CTCF-37141.bw	11499	25.591216108924307	52.624088079013205	1324
segToFrag_E12_PFL_wt_CS65_neq2.bw	50528	68.84358005510988	19.938215047160377	1119
segToFrag_E9_FLB_delCS3840_Hoxd9_neq2.bw	40029	53.532118291362664	32.521865788788986	1326
segToFrag_E9_FLB_invTDOM_CTCF-37154.bw	12359	44.03984836247437	40.062462744600204	1210
segToFrag_E9_FLB_wt_CTCF-37141_neq2.bw	34846	57.971685825685505	31.072254240915047	1275
segToFrag_E9_FLB_invCS3840_CS65.bw	17166	28.44394440299497	48.86652250628181	1370
segToFrag_E9_FLB_delCS3840_CS65_neq2.bw	35336	47.23805734711842	37.09241779262731	1356
segToFrag_E12_PFL_delCTCFs_Hoxd9.bw	44103	67.24718422532781	21.336406862793297	1100
segToFrag_E12_PFL_invTDOM_CS38.bw	12608	52.187392153827126	29.91210156125201	1025
segToFrag_E12_PFL_delCTCFs_CS65.bw	27540	61.81664845534187	22.745753788593454	1173
